path,root,title,chars,bytes,lines,h1Count,headings,tables,footnoteDefs,footnoteRefs,images,externalUrls,externalMarkdownLinks,internalMarkdownLinks,replacementChars,frontmatter,sourceFields,exactHash,canonicalHash,empty,veryShort,veryLong,sourceRisk,externalModelSource,includedBy
content/articles/buffett/巴菲特谈养老金问题_1975.md,content/articles/buffett,巴菲特谈养老金问题 1975,13281,37455,150,1,1,0,0,0,0,0,0,0,0,false,,615337277c4366a94ce7df51350950958a3be0ee768c49175defc7071fa93196,986b77788c799dd51fd6d19d6031d84ccc10aabf7e6140f7930a26cb2d732b52,false,false,false,true,false,buffett
content/articles/buffett/巴菲特谈指数期货_1982.md,content/articles/buffett,巴菲特谈指数期货 1982,2746,7585,32,1,1,0,0,0,0,0,0,0,0,false,,0b33678f96abb4e235e2ae47d6342fd43fa34d3f975b57357d9fafd9d06e1f68,4fc0e41b97cb77d02e39f3f9d3f97a766a67922d99d9ed9441530a1be9118e75,false,false,false,true,false,buffett
content/articles/buffett/巴菲特推荐过的书籍.md,content/articles/buffett,巴菲特推荐过的书籍,49905,118291,414,1,1,0,0,0,0,1,0,0,0,false,,2011e2fc8dd8997f2aac1b88bc06326bdcd883568cbda251be7c2a48065e568b,d072880b40b82da16d8dcb8d17de1ddc61bde13ff75a88e457fb15a20e868eac,false,false,false,true,false,
content/articles/buffett/巴菲特致所罗门股东信_1991.md,content/articles/buffett,巴菲特致所罗门股东信 1991,4839,13564,70,1,1,0,0,0,0,0,0,0,0,false,,ca5df4d46da91013a9e5d00c6b2a161ef50a906db1a6a9c61648e2ce04eb1d4f,e5e29acb5987f348e175f276bfb7fd833351ad6780ade20dcc1bc4bf76102496,false,false,false,false,false,buffett
content/articles/buffett/伯克希尔_50_周年：过去、现在和未来.md,content/articles/buffett,伯克希尔 50 周年：过去、现在和未来,22808,63622,362,1,23,0,0,0,0,0,0,0,0,false,,a81840213acd2192fd70fe063987c0d054fa7b39fed2f05cf360cacf764f345f,349630b603225aaec02e76add42c8877a5a1d2c12ef91ba2b790220738d50177,false,false,false,true,false,buffett
content/articles/buffett/伯克希尔股东手册_1996.md,content/articles/buffett,伯克希尔股东手册 1996,9815,28437,168,1,11,0,0,0,0,0,0,0,0,false,,794b2047a11f9a0f5aef96bd9b1c8594040f3859a3f6aa89b564d365d597aa6d,c6230f6f97eb553c69c3dfd105afa66c260a482bf01e4f7723bc5c5a759aec30,false,false,false,true,false,buffett
content/articles/buffett/财富杂志：沃伦之思_2008.md,content/articles/buffett,财富杂志：沃伦之思 2008,5135,14195,110,1,15,0,0,0,0,0,0,0,0,false,,b83e24921eb5780dcc9c4c75d686c69faea7bb92fdea3b9f952b3405069395e0,1b13f7ae31ca2b76babd0beae26805257b5e2be5b235b0b0a407867087d2f654,false,false,false,false,false,buffett
content/articles/buffett/企业收藏家_1977.md,content/articles/buffett,企业收藏家 1977,5030,13148,52,1,1,0,0,0,0,0,0,0,0,false,,b68f17a3355d2528c9856aea0f5206e1a64c2450607c4dfa27c4859631fbda33,48849fc8a41541ac26d563b72d73565562c368a76f52140a3bf9ba73bdb6b274,false,false,false,false,false,buffett
content/articles/buffett/我最看好的股票：人寿保险_1957.md,content/articles/buffett,我最看好的股票：人寿保险 1957,1460,3303,36,1,1,8,0,0,0,0,0,0,0,false,,487b5e3f20fc5b56326f7c5d01ef5ab2aaffbe60b450d59018662998603cfd12,eed32b8b1ffae0fee227e3a0988bdb3a1c68b74ceb053c92df263f79ec8612e1,false,false,false,false,false,buffett
content/articles/buffett/我最看好的股票：西部保险_1953.md,content/articles/buffett,我最看好的股票：西部保险 1953,2354,6290,38,1,1,0,0,0,0,0,0,0,0,false,,a779f43d32b0fec9090528943a8b76ff8d109b3f332378a17dc7eac2938d1add,8c6995b76869c299b9aff87feb489cd3e7dc688b6c2a208ccd2f90a5fbd20da2,false,false,false,false,false,buffett
